"federalist" "federalist_1" "federalist_10" "federalist_11" "federalist_12" "federalist_13" "federalist_14" "federalist_15" "federalist_16" "federalist_17" "federalist_18" "federalist_19" "federalist_2" "federalist_20" "federalist_21" "federalist_22" "federalist_23" "federalist_24" "federalist_25" "federalist_26" "federalist_27" "federalist_28" "federalist_29" "federalist_3" "federalist_30" "federalist_31" "federalist_32" "federalist_33" "federalist_34" "federalist_35" "federalist_36" "federalist_37" "federalist_38" "federalist_39" "federalist_4" "federalist_40" "federalist_41" "federalist_42" "federalist_43" "federalist_44" "federalist_45" "federalist_46" "federalist_47" "federalist_48" "federalist_49" "federalist_5" "federalist_50" "federalist_51" "federalist_52" "federalist_53" "federalist_54" "federalist_55" "federalist_56" "federalist_57" "federalist_58" "federalist_59" "federalist_6" "federalist_60" "federalist_61" "federalist_62" "federalist_63" "federalist_64" "federalist_65" "federalist_66" "federalist_67" "federalist_68" "federalist_69" "federalist_7" "federalist_70" "federalist_71" "federalist_72" "federalist_73" "federalist_74" "federalist_75" "federalist_76" "federalist_77" "federalist_78" "federalist_79" "federalist_8" "federalist_80" "federalist_81" "federalist_82" "federalist_83" "federalist_84" "federalist_85" "federalist_9"
"provision" 0.0625432548124984 0 0 0 0 0 0 0.0321957501609788 0 0 0.0468164794007491 0.0964320154291225 0 0 0.148957298907646 0.0280112044817927 0.0546448087431694 0.0988630746416213 0.099403578528827 0.332502078137988 0 0.0613496932515337 0.0888494002665482 0 0.151057401812689 0.113895216400911 0.0662690523525514 0.116890707188778 0.223613595706619 0 0.100401606425703 0 0 0.0380372765310004 0 0.0327868852459016 0.0560852495793606 0.214285714285714 0.0869313242538395 0.0684931506849315 0 0 0.0361271676300578 0.0529380624669137 0.238095238095238 0 0.0890471950133571 0.051440329218107 0.0536768652710682 0.045766590389016 0 0 0 0 0.0473036896877956 0.15495867768595 0 0 0.258397932816537 0 0 0 0 0.0436490615451768 0.12012012012012 0 0.0333889816360601 0.0429922613929493 0.029708853238265 0 0.0485201358563804 0.125575554625366 0.0972762645914397 0.0509943906170321 0.0512557662737058 0.0496277915632754 0.0325309043591412 0.764087870105062 0 0.0404367165386171 0.152594099694812 0 0.221956633088612 0.0947642738687515 0.0367647058823529 0
"yet" 0.0620306051828878 0.0615384615384615 0.0991080277502478 0 0.0458295142071494 0 0.046189376443418 0.0643915003219575 0.0484496124031008 0.0627352572145546 0 0 0.177935943060498 0.0647668393782383 0 0.0840336134453782 0.0546448087431694 0.0494315373208107 0.099403578528827 0.0415627597672485 0 0 0.0444247001332741 0.204498977505112 0.0503524672708963 0.113895216400911 0.0662690523525514 0.116890707188778 0.134168157423971 0 0.0669344042838019 0.182615047479912 0.089632506722438 0 0 0 0.0280426247896803 0.107142857142857 0.0289771080846132 0.0342465753424658 0.139794967381174 0 0.0361271676300578 0.0529380624669137 0 0.219941348973607 0 0 0 0.137299771167048 0.0495049504950495 0.0485436893203883 0.0597371565113501 0.133749442710655 0.0473036896877956 0.103305785123967 0.0894454382826476 0.0439753737906772 0 0 0.0655307994757536 0.171895143962183 0.0490677134445535 0.13094718463553 0 0.130633572828217 0.0667779632721202 0 0.11883541295306 0.0567214974475326 0 0 0 0.101988781234064 0.102511532547412 0.0496277915632754 0.0650618087182824 0.191021967526266 0 0.0808734330772341 0.101729399796541 0.0643086816720257 0.0853679358033123 0.0947642738687515 0.0735294117647059 0.0497512437810945
"president" 0.0615179555532771 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.089632506722438 0.152149106124002 0 0 0 0 0 0.0342465753424658 0.0465983224603914 0 0.108381502890173 0 0 0 0 0 0 0 0 0.0970873786407767 0 0.0445831475702185 0.0473036896877956 0 0 0.0439753737906772 0 0 0 0.429737859905458 0.0490677134445535 0.13094718463553 0.600600600600601 0.914435009797518 0.801335559265442 0 0 0.0567214974475326 0.0485201358563804 0.209292591042277 0.389105058365759 0.356960734319225 0.358790363915941 0.446650124069479 0 0.286532951289398 0 0 0 0 0 0.0947642738687515 0 0
"within" 0.0625432548124984 0 0.13214403700033 0.0395569620253165 0.0458295142071494 0 0.092378752886836 0.0321957501609788 0.0968992248062016 0.125470514429109 0 0.0482160077145612 0 0.0647668393782383 0.0496524329692155 0 0.109289617486339 0 0.0497017892644135 0.0831255195344971 0.0674763832658569 0.0613496932515337 0 0 0.0503524672708963 0 0 0 0.0894454382826476 0 0.0669344042838019 0 0 0.114111829593001 0 0.0655737704918033 0.0560852495793606 0.392857142857143 0.0579542161692263 0.0342465753424658 0.139794967381174 0.0379218809252939 0.0361271676300578 0.105876124933827 0.119047619047619 0.0733137829912024 0.534283170080142 0.102880658436214 0.107353730542136 0.183066361556064 0 0.242718446601942 0.41816009557945 0 0.0473036896877956 0 0.0447227191413238 0 0 0.0416666666666667 0.131061598951507 0 0 0 0.0600600600600601 0.0653167864141084 0.10016694490818 0.128976784178848 0 0.0567214974475326 0.0485201358563804 0.0418585182084554 0 0.0509943906170321 0 0 0.0325309043591412 0 0.144717800289436 0.0808734330772341 0.0508646998982706 0.0643086816720257 0.0341471743213249 0.0236910684671879 0 0.0995024875621891
"congress" 0.0610053059236665 0 0 0 0 0 0.046189376443418 0.0321957501609788 0 0 0.0468164794007491 0 0.415183867141163 0 0.0496524329692155 0.0840336134453782 0.0546448087431694 0 0.099403578528827 0 0 0 0.0444247001332741 0 0.0503524672708963 0 0.331345261762757 0 0 0 0 0 0.358530026889752 0.0760745530620008 0 0.524590163934426 0.140213123948402 0.107142857142857 0.144885540423066 0.308219178082192 0.139794967381174 0.0758437618505878 0 0.0529380624669137 0 0 0 0 0.0536768652710682 0.045766590389016 0.0495049504950495 0.194174757281553 0.0597371565113501 0.0891662951404369 0 0.103305785123967 0 0.0439753737906772 0.0645994832041344 0 0 0 0 0 0 0 0.0333889816360601 0.0429922613929493 0 0 0 0 0 0.101988781234064 0.0512557662737058 0.0496277915632754 0 0 0 0 0.0508646998982706 0.192926045016077 0.0170735871606625 0.213219616204691 0.0735294117647059 0
"force" 0.0610053059236665 0.0615384615384615 0.0330360092500826 0.118670886075949 0 0.101419878296146 0.046189376443418 0.0321957501609788 0.193798449612403 0.125470514429109 0.0468164794007491 0.144648023143684 0.0593119810201661 0.0647668393782383 0.099304865938431 0.0560224089635854 0 0.0988630746416213 0.198807157057654 0.29093931837074 0.337381916329285 0.552147239263804 0.133274100399822 0.0681663258350375 0.0503524672708963 0.0569476082004556 0 0 0 0.043956043956044 0 0.0365230094959825 0.0298775022408127 0.0380372765310004 0.120336943441637 0 0.0841278743690409 0 0.173862648507679 0.0684931506849315 0 0.113765642775882 0.0361271676300578 0 0.0595238095238095 0.0733137829912024 0.0890471950133571 0 0 0 0.0495049504950495 0.0970873786407767 0.1194743130227 0 0.0946073793755913 0.0516528925619835 0 0.131926121372032 0.129198966408269 0 0.0655307994757536 0.0429737859905458 0 0 0.0600600600600601 0.0653167864141084 0 0.0859845227858985 0 0 0.0485201358563804 0 0.0972762645914397 0.101988781234064 0 0 0.0325309043591412 0 0.0964785335262904 0 0.0762970498474059 0.0643086816720257 0.0512207614819874 0 0.0367647058823529 0.149253731343284
"necessity" 0.0604926562940558 0.123076923076923 0.0330360092500826 0.0791139240506329 0.0458295142071494 0 0.046189376443418 0.0321957501609788 0.0484496124031008 0 0.0468164794007491 0.0964320154291225 0.0593119810201661 0.0647668393782383 0 0.168067226890756 0.218579234972678 0.247157686604053 0.149105367793241 0.0415627597672485 0.0674763832658569 0.184049079754601 0 0 0.151057401812689 0.170842824601367 0.132538104705103 0.0584453535943892 0 0.175824175824176 0.0334672021419009 0.109569028487947 0.149387511204063 0 0 0.0327868852459016 0.0841278743690409 0.107142857142857 0.115908432338453 0.0684931506849315 0 0.0379218809252939 0 0.0529380624669137 0 0 0 0.102880658436214 0 0.045766590389016 0 0 0 0 0 0.15495867768595 0 0.0439753737906772 0 0.0833333333333333 0.0655307994757536 0.0429737859905458 0.0490677134445535 0 0 0 0.10016694490818 0 0.029708853238265 0 0.0970402717127608 0.0837170364169108 0 0.101988781234064 0.102511532547412 0.0496277915632754 0.0650618087182824 0 0.144717800289436 0.0808734330772341 0.0762970498474059 0.0643086816720257 0.0170735871606625 0.0236910684671879 0.110294117647059 0.0995024875621891
"independent" 0.0599800066644452 0.0615384615384615 0 0.0395569620253165 0 0.101419878296146 0 0.0965872504829362 0.0484496124031008 0.188205771643664 0.0468164794007491 0.0964320154291225 0.118623962040332 0.129533678756477 0.0496524329692155 0.0280112044817927 0 0.0494315373208107 0.0497017892644135 0.0831255195344971 0 0.184049079754601 0 0.204498977505112 0 0 0.198807157057654 0.116890707188778 0.178890876565295 0.043956043956044 0 0 0.0597550044816253 0.190186382655002 0.36101083032491 0.0655737704918033 0.0280426247896803 0 0.0579542161692263 0 0.0931966449207828 0.0379218809252939 0.0722543352601156 0 0.0595238095238095 0.293255131964809 0 0.308641975308642 0 0.045766590389016 0 0.0970873786407767 0.0597371565113501 0 0.0473036896877956 0 0.0894454382826476 0.0439753737906772 0 0.0833333333333333 0.0655307994757536 0.0429737859905458 0.0490677134445535 0.0872981230903536 0 0.130633572828217 0.0667779632721202 0.128976784178848 0.029708853238265 0.113442994895065 0.0485201358563804 0 0 0.0509943906170321 0.102511532547412 0.0496277915632754 0.0325309043591412 0 0 0.0404367165386171 0.127161749745677 0 0.0170735871606625 0.0236910684671879 0.0735294117647059 0.0995024875621891
"means" 0.0604926562940558 0 0.0991080277502478 0.0791139240506329 0.137488542621448 0 0 0.0321957501609788 0.145348837209302 0 0.0468164794007491 0 0 0.0647668393782383 0.0496524329692155 0.0280112044817927 0.163934426229508 0 0.149105367793241 0.0415627597672485 0 0.184049079754601 0.0444247001332741 0.0681663258350375 0.151057401812689 0.284738041002278 0 0.175336060783168 0.0894454382826476 0 0.0334672021419009 0.0365230094959825 0.0597550044816253 0 0.120336943441637 0.163934426229508 0.140213123948402 0 0 0.136986301369863 0.0465983224603914 0.151687523701176 0.0361271676300578 0.0529380624669137 0.0595238095238095 0 0.0890471950133571 0.102880658436214 0.107353730542136 0.22883295194508 0.0495049504950495 0.194174757281553 0 0.133749442710655 0.0473036896877956 0.0516528925619835 0.0447227191413238 0.0439753737906772 0 0.0416666666666667 0.0982961992136304 0.0429737859905458 0.0490677134445535 0 0 0.0653167864141084 0.0333889816360601 0 0 0.113442994895065 0 0.0418585182084554 0 0 0 0 0.0325309043591412 0 0.144717800289436 0.0404367165386171 0.0254323499491353 0 0 0.0473821369343757 0 0.248756218905473
"security" 0.0594673570348345 0.123076923076923 0.0991080277502478 0 0.0916590284142988 0 0 0 0.0484496124031008 0 0 0 0.0593119810201661 0 0.0496524329692155 0.0280112044817927 0 0.148294611962432 0.099403578528827 0.124688279301746 0 0.184049079754601 0.0888494002665482 0.204498977505112 0.0503524672708963 0.113895216400911 0 0 0.0447227191413238 0 0.0334672021419009 0.0365230094959825 0.0298775022408127 0 0 0 0.168255748738082 0 0.0289771080846132 0.0342465753424658 0.139794967381174 0 0 0.158814187400741 0.0595238095238095 0 0 0.411522633744856 0 0.183066361556064 0 0 0.0597371565113501 0.0445831475702185 0.141911069063387 0.15495867768595 0 0.0439753737906772 0.193798449612403 0.0833333333333333 0 0.0859475719810915 0.098135426889107 0.13094718463553 0 0.0653167864141084 0 0 0.11883541295306 0.0567214974475326 0.0970402717127608 0.0837170364169108 0 0.152983171851096 0 0.0992555831265509 0.0325309043591412 0 0.0964785335262904 0.0404367165386171 0.0508646998982706 0 0.0853679358033123 0.0710732054015636 0.110294117647059 0.0995024875621891
"america" 0.0589547074052239 0.0615384615384615 0 0.356012658227848 0.0916590284142988 0.101419878296146 0.184757505773672 0.0643915003219575 0 0.0627352572145546 0 0 0.415183867141163 0 0.0496524329692155 0.112044817927171 0.0546448087431694 0.0988630746416213 0 0.166251039068994 0 0 0.0444247001332741 0.408997955010225 0.151057401812689 0 0 0 0 0 0 0 0.0597550044816253 0.114111829593001 0.300842358604091 0.0983606557377049 0.280426247896803 0.0357142857142857 0 0.0684931506849315 0.139794967381174 0.0379218809252939 0.0361271676300578 0 0.0595238095238095 0.366568914956012 0 0.102880658436214 0 0.091533180778032 0.0495049504950495 0.145631067961165 0 0.0445831475702185 0 0.0516528925619835 0 0 0 0.125 0.0982961992136304 0 0 0 0.0600600600600601 0.0653167864141084 0.0333889816360601 0.0859845227858985 0.029708853238265 0 0 0 0 0.0509943906170321 0 0 0 0 0.0482392667631452 0 0 0 0 0.0473821369343757 0.0367647058823529 0.0995024875621891
"peace" 0.0579294081460026 0 0 0 0 0 0.092378752886836 0.0965872504829362 0 0.0627352572145546 0.0936329588014981 0.241080038572806 0.118623962040332 0.194300518134715 0.0496524329692155 0.0840336134453782 0.0546448087431694 0.444883835887296 0.397614314115308 0.415627597672485 0 0.184049079754601 0.0444247001332741 0.340831629175187 0.0503524672708963 0.0569476082004556 0 0 0.223613595706619 0 0 0 0 0 0.120336943441637 0 0.168255748738082 0 0.0289771080846132 0.0684931506849315 0.279589934762349 0 0.216763005780347 0 0 0.146627565982405 0 0 0 0 0 0 0 0 0 0 0.0894454382826476 0 0 0 0 0.0429737859905458 0 0 0 0 0.0333889816360601 0.171969045571797 0.05941770647653 0 0.0485201358563804 0 0 0 0 0 0 0 0.0482392667631452 0.202183582693085 0.0508646998982706 0 0.0170735871606625 0 0.0367647058823529 0.0497512437810945
"circumstances" 0.057416758516392 0 0.0660720185001652 0.0791139240506329 0.0458295142071494 0.101419878296146 0 0.0643915003219575 0 0 0 0 0 0.0647668393782383 0.148957298907646 0 0.218579234972678 0.0494315373208107 0 0.0831255195344971 0.0674763832658569 0.0613496932515337 0.0444247001332741 0.204498977505112 0 0 0 0 0 0 0.133868808567604 0.0365230094959825 0 0 0.180505415162455 0.0655737704918033 0 0 0 0 0 0.0379218809252939 0 0.105876124933827 0.0595238095238095 0.146627565982405 0.267141585040071 0 0.161030595813205 0.183066361556064 0 0.194174757281553 0.657108721624851 0.0891662951404369 0.0946073793755913 0.103305785123967 0 0.0439753737906772 0.0645994832041344 0 0.0655307994757536 0.128921357971637 0 0 0.0600600600600601 0.0653167864141084 0.0667779632721202 0.0859845227858985 0.148544266191325 0 0.0970402717127608 0.0418585182084554 0 0.0509943906170321 0.0512557662737058 0.0992555831265509 0.0325309043591412 0.191021967526266 0.0482392667631452 0 0.0254323499491353 0 0.102441522963975 0 0.110294117647059 0.0497512437810945
"reason" 0.0569041088867813 0.0615384615384615 0.0991080277502478 0 0.0458295142071494 0.101419878296146 0 0.0643915003219575 0 0.0627352572145546 0 0 0.177935943060498 0 0 0.0840336134453782 0.0546448087431694 0.0494315373208107 0 0.0831255195344971 0.0674763832658569 0 0.177698800533096 0 0 0 0 0 0.0447227191413238 0.043956043956044 0.0334672021419009 0 0.0597550044816253 0.0380372765310004 0 0.0983606557377049 0.0280426247896803 0.0357142857142857 0.0289771080846132 0.0684931506849315 0 0.0379218809252939 0 0.105876124933827 0.238095238095238 0.0733137829912024 0.178094390026714 0 0.214707461084273 0.137299771167048 0.0495049504950495 0.0970873786407767 0 0.0891662951404369 0.0946073793755913 0.103305785123967 0.0447227191413238 0.0439753737906772 0.129198966408269 0.0416666666666667 0.0982961992136304 0.0859475719810915 0.14720314033366 0.174596246180707 0 0 0.0667779632721202 0.0429922613929493 0.05941770647653 0.113442994895065 0.145560407569141 0.0418585182084554 0 0 0 0.0496277915632754 0.130123617436565 0 0 0.0808734330772341 0.127161749745677 0.0643086816720257 0.0341471743213249 0.0710732054015636 0.0367647058823529 0
"respect" 0.0569041088867813 0.0615384615384615 0.0330360092500826 0.118670886075949 0.137488542621448 0.101419878296146 0 0.0321957501609788 0 0 0 0 0.0593119810201661 0 0 0.0280112044817927 0.0546448087431694 0.247157686604053 0.0497017892644135 0.0831255195344971 0.0674763832658569 0 0.0888494002665482 0.477164280845262 0.0503524672708963 0.113895216400911 0 0.233781414377557 0.0894454382826476 0.043956043956044 0.0334672021419009 0.0365230094959825 0 0 0 0 0.0280426247896803 0.107142857142857 0 0.0342465753424658 0.0465983224603914 0 0.0361271676300578 0.105876124933827 0 0.0733137829912024 0 0 0 0.045766590389016 0.247524752475248 0 0.0597371565113501 0.0891662951404369 0 0.103305785123967 0 0.175901495162709 0.193798449612403 0.0833333333333333 0.0327653997378768 0.0859475719810915 0.0490677134445535 0.0436490615451768 0.0600600600600601 0.195950359242325 0.300500834724541 0.0429922613929493 0 0.113442994895065 0 0.0418585182084554 0 0.0509943906170321 0.0512557662737058 0.0496277915632754 0 0.191021967526266 0 0.0404367165386171 0.0762970498474059 0.128617363344051 0.0512207614819874 0 0 0.0995024875621891
"single" 0.0563914592571707 0 0.0330360092500826 0.0791139240506329 0.0916590284142988 0 0 0 0.0968992248062016 0 0.0468164794007491 0 0 0 0 0.112044817927171 0 0.0494315373208107 0 0 0.134952766531714 0.0613496932515337 0 0.0681663258350375 0 0 0 0 0.0447227191413238 0.043956043956044 0.0669344042838019 0.0365230094959825 0.179265013444876 0.0380372765310004 0.0601684717208183 0.0327868852459016 0.112170499158721 0 0.0579542161692263 0.0342465753424658 0.0931966449207828 0.0379218809252939 0.0722543352601156 0.105876124933827 0 0 0.0890471950133571 0.102880658436214 0 0.22883295194508 0.148514851485149 0 0.1194743130227 0.0445831475702185 0.141911069063387 0 0 0.131926121372032 0.193798449612403 0.0416666666666667 0 0 0 0 0 0.130633572828217 0.13355592654424 0 0.267379679144385 0 0 0.125575554625366 0.291828793774319 0.101988781234064 0.205023065094823 0.0496277915632754 0.0325309043591412 0 0.0482392667631452 0 0 0.0643086816720257 0.0341471743213249 0.0473821369343757 0.0735294117647059 0.199004975124378
"course" 0.0563914592571707 0.123076923076923 0 0.118670886075949 0 0 0.092378752886836 0.0321957501609788 0.0968992248062016 0 0 0 0.0593119810201661 0 0.099304865938431 0.0280112044817927 0.109289617486339 0 0.099403578528827 0 0.0674763832658569 0.0613496932515337 0.133274100399822 0 0.100704934541793 0.0569476082004556 0 0 0.0894454382826476 0.0879120879120879 0.0669344042838019 0.14609203798393 0 0 0 0.0327868852459016 0.0280426247896803 0.0357142857142857 0.0579542161692263 0.0684931506849315 0.0931966449207828 0.0758437618505878 0 0.105876124933827 0 0.0733137829912024 0 0 0 0.137299771167048 0 0.0485436893203883 0.0597371565113501 0 0 0 0.0894454382826476 0.0439753737906772 0 0 0 0.0429737859905458 0.14720314033366 0.0872981230903536 0.12012012012012 0 0.0667779632721202 0 0.029708853238265 0.0567214974475326 0.0970402717127608 0.0418585182084554 0.0972762645914397 0.0509943906170321 0.0512557662737058 0.0992555831265509 0.0325309043591412 0.0955109837631328 0.0964785335262904 0.0808734330772341 0.152594099694812 0.192926045016077 0.153662284445962 0.0473821369343757 0.147058823529412 0.0497512437810945
"causes" 0.05587880962756 0.0615384615384615 0.198216055500496 0.0395569620253165 0 0.101419878296146 0 0.0321957501609788 0.0484496124031008 0.0627352572145546 0 0.0482160077145612 0 0.0647668393782383 0.0496524329692155 0 0 0 0 0 0.0674763832658569 0 0 0.5453306066803 0 0 0 0 0.0447227191413238 0.043956043956044 0 0.0365230094959825 0 0 0.240673886883273 0 0.0280426247896803 0 0 0 0.0465983224603914 0.0379218809252939 0 0 0 0.0733137829912024 0 0 0 0.045766590389016 0 0 0 0.0445831475702185 0.0473036896877956 0 0.0894454382826476 0.0439753737906772 0 0 0.0655307994757536 0 0 0.0436490615451768 0 0 0 0.214961306964746 0.029708853238265 0 0.0485201358563804 0 0.0972762645914397 0 0 0 0 0 0.0964785335262904 0.323493732308937 0.381485249237029 0.578778135048232 0.392692504695236 0 0 0
"whether" 0.05587880962756 0.123076923076923 0.0660720185001652 0.0395569620253165 0 0 0 0.0321957501609788 0.0968992248062016 0 0 0 0.0593119810201661 0.0647668393782383 0 0.0560224089635854 0.0546448087431694 0 0.0497017892644135 0.0415627597672485 0 0.0613496932515337 0.0888494002665482 0.204498977505112 0 0 0 0 0 0.0879120879120879 0.0334672021419009 0 0.089632506722438 0.0380372765310004 0.120336943441637 0.163934426229508 0.112170499158721 0 0.0289771080846132 0.136986301369863 0.0931966449207828 0.113765642775882 0.0722543352601156 0.158814187400741 0.0595238095238095 0.146627565982405 0.356188780053428 0 0.214707461084273 0.045766590389016 0.0495049504950495 0.145631067961165 0.0597371565113501 0.0891662951404369 0 0 0.0894454382826476 0.0439753737906772 0.0645994832041344 0 0 0.214868929952729 0.098135426889107 0 0.0600600600600601 0 0.10016694490818 0 0.029708853238265 0.113442994895065 0.145560407569141 0 0.0972762645914397 0 0.0512557662737058 0.0992555831265509 0 0.0955109837631328 0 0.0808734330772341 0.0254323499491353 0.0643086816720257 0.0341471743213249 0.0236910684671879 0.110294117647059 0
"present" 0.0553661599979494 0.0615384615384615 0.0330360092500826 0.0791139240506329 0.0916590284142988 0 0.046189376443418 0.160978750804894 0.0968992248062016 0.0627352572145546 0.140449438202247 0.0482160077145612 0.118623962040332 0.129533678756477 0.0496524329692155 0.0560224089635854 0.109289617486339 0.0494315373208107 0 0 0.0674763832658569 0 0.0444247001332741 0.204498977505112 0.151057401812689 0 0 0 0.0894454382826476 0 0 0.0365230094959825 0.089632506722438 0.0380372765310004 0.120336943441637 0.0327868852459016 0.0560852495793606 0 0.0289771080846132 0 0.0465983224603914 0.0758437618505878 0 0 0.119047619047619 0.146627565982405 0.0890471950133571 0 0.0536768652710682 0 0 0.0970873786407767 0.0597371565113501 0.0445831475702185 0.0946073793755913 0.103305785123967 0.0447227191413238 0 0.0645994832041344 0.0416666666666667 0 0.0859475719810915 0.0490677134445535 0 0 0 0.0667779632721202 0.0429922613929493 0 0.0567214974475326 0.0970402717127608 0 0 0.203977562468129 0.102511532547412 0 0.0650618087182824 0.0955109837631328 0.0482392667631452 0.0404367165386171 0.0254323499491353 0.0643086816720257 0.0682943486426498 0.165837479270315 0.147058823529412 0.0497512437810945
"however" 0.0553661599979494 0.184615384615385 0.0991080277502478 0 0 0.101419878296146 0.092378752886836 0.0321957501609788 0 0 0.0936329588014981 0 0.118623962040332 0.129533678756477 0.0496524329692155 0.0560224089635854 0.109289617486339 0.148294611962432 0.0497017892644135 0.0415627597672485 0.0674763832658569 0.0613496932515337 0 0 0.0503524672708963 0.0569476082004556 0.0662690523525514 0.0584453535943892 0.0894454382826476 0.043956043956044 0.0334672021419009 0.14609203798393 0.119510008963251 0.0380372765310004 0.0601684717208183 0.0327868852459016 0 0.0357142857142857 0 0 0.0465983224603914 0.0758437618505878 0.0722543352601156 0.105876124933827 0.119047619047619 0 0.0890471950133571 0.051440329218107 0 0 0.0495049504950495 0 0.17921146953405 0.0891662951404369 0.0946073793755913 0.0516528925619835 0.0447227191413238 0.131926121372032 0.0645994832041344 0.0833333333333333 0.0982961992136304 0.0859475719810915 0 0 0 0 0.0667779632721202 0.0429922613929493 0.05941770647653 0.113442994895065 0 0 0 0.0509943906170321 0 0.0992555831265509 0.0325309043591412 0 0.0482392667631452 0 0.0254323499491353 0 0.0853679358033123 0.0473821369343757 0.147058823529412 0.149253731343284
"principle" 0.0548535103683388 0 0.0330360092500826 0 0 0.101419878296146 0.138568129330254 0.160978750804894 0.242248062015504 0.188205771643664 0.0468164794007491 0.144648023143684 0 0.0647668393782383 0.198609731876862 0.0840336134453782 0.0546448087431694 0.0494315373208107 0.0497017892644135 0 0 0.122699386503067 0 0 0.151057401812689 0 0 0 0.0894454382826476 0 0 0 0 0.114111829593001 0 0.0327868852459016 0 0 0.144885540423066 0.0684931506849315 0 0 0.0722543352601156 0 0.178571428571429 0 0 0.205761316872428 0.0536768652710682 0.045766590389016 0.297029702970297 0 0.1194743130227 0.0891662951404369 0.0946073793755913 0.15495867768595 0.0447227191413238 0.0439753737906772 0 0 0.0655307994757536 0.0429737859905458 0 0.218245307725884 0 0 0 0.128976784178848 0 0.170164492342598 0.0485201358563804 0 0 0.0509943906170321 0 0 0.0650618087182824 0 0 0.121310149615851 0.0254323499491353 0 0 0 0 0.298507462686567
"court" 0.0538282111091175 0.0615384615384615 0 0 0 0 0 0.0321957501609788 0 0 0.0468164794007491 0 0 0 0 0.112044817927171 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.289017341040462 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0447227191413238 0.0439753737906772 0 0 0 0 0.736015701668302 0.349192492361414 0.0600600600600601 0 0.0333889816360601 0.0859845227858985 0 0 0 0.0418585182084554 0 0 0.0512557662737058 0 0 0 0 0.161746866154468 0.661241098677518 0.707395498392283 0.290250981731262 0.0236910684671879 0 0
"right" 0.0548535103683388 0.184615384615385 0 0 0.0458295142071494 0 0 0.0643915003219575 0 0 0.0936329588014981 0.0482160077145612 0.0593119810201661 0 0.198609731876862 0.140056022408964 0 0.197726149283243 0 0 0 0.0613496932515337 0.0888494002665482 0.0681663258350375 0.151057401812689 0.113895216400911 0.0662690523525514 0 0 0 0.0334672021419009 0 0 0 0.0601684717208183 0.0327868852459016 0 0.0357142857142857 0.318748188930745 0.171232876712329 0 0 0 0 0.0595238095238095 0 0 0 0.161030595813205 0 0.148514851485149 0 0 0.267498885421311 0.0473036896877956 0.0516528925619835 0 0.175901495162709 0 0.0416666666666667 0.0655307994757536 0 0 0.13094718463553 0 0.0653167864141084 0.200333889816361 0.128976784178848 0.029708853238265 0.0567214974475326 0.0485201358563804 0 0.0972762645914397 0 0 0.198511166253102 0.0325309043591412 0 0 0 0.0508646998982706 0.0643086816720257 0.0170735871606625 0.0473821369343757 0 0
"situation" 0.0538282111091175 0 0.0660720185001652 0.158227848101266 0.137488542621448 0 0.046189376443418 0.0965872504829362 0.0484496124031008 0.0627352572145546 0 0.0482160077145612 0 0 0.099304865938431 0.0840336134453782 0 0.0988630746416213 0.099403578528827 0.0831255195344971 0.0674763832658569 0.122699386503067 0 0 0.251762336354481 0 0 0 0 0.131868131868132 0.133868808567604 0.0730460189919649 0.089632506722438 0 0.36101083032491 0.0327868852459016 0.112170499158721 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0495049504950495 0 0.17921146953405 0.0891662951404369 0 0.15495867768595 0.0447227191413238 0.0879507475813544 0.0645994832041344 0.125 0.0327653997378768 0 0.0490677134445535 0 0.0600600600600601 0.195950359242325 0 0.128976784178848 0 0.0567214974475326 0.145560407569141 0.0418585182084554 0 0 0.0512557662737058 0 0 0.191021967526266 0.289435600578871 0 0 0.0643086816720257 0.0512207614819874 0 0.110294117647059 0.0497512437810945
"view" 0.0538282111091175 0.123076923076923 0.0660720185001652 0.118670886075949 0.0458295142071494 0.304259634888438 0.046189376443418 0.0321957501609788 0.0484496124031008 0 0 0 0.0593119810201661 0 0.099304865938431 0.0840336134453782 0.0546448087431694 0.148294611962432 0 0.0415627597672485 0 0 0 0 0 0.0569476082004556 0.0662690523525514 0 0.0894454382826476 0.0879120879120879 0.100401606425703 0.109569028487947 0.0298775022408127 0 0.0601684717208183 0.0655737704918033 0.0841278743690409 0.142857142857143 0.0289771080846132 0 0.0931966449207828 0.0379218809252939 0.0361271676300578 0 0.119047619047619 0 0.178094390026714 0.154320987654321 0.214707461084273 0 0.099009900990099 0.0485436893203883 0.0597371565113501 0 0.0473036896877956 0.0516528925619835 0 0.0879507475813544 0.0645994832041344 0.0833333333333333 0.0327653997378768 0.0429737859905458 0.0490677134445535 0.0436490615451768 0.0600600600600601 0 0.0333889816360601 0.0429922613929493 0.029708853238265 0 0.0485201358563804 0 0.0972762645914397 0.101988781234064 0.153767298821117 0.0992555831265509 0.0650618087182824 0 0.0482392667631452 0 0.0762970498474059 0 0.0170735871606625 0.0473821369343757 0.0735294117647059 0.0995024875621891
